ZIP,s01_bus,s16_bus,s24_bus,s26_bus,n01_bus,n13_bus,n15_bus,n16_bus,n34_bus,n35_bus,n36_bus,n37_bus,emp_cy,indarts_cy,indfood_cy,crmcytotc,hwfu18_o10,hwfu6_o10,medval_cy,avgval_cy,medval_fy,avgval_fy,acsmedval,medhinc_cy,avghinc_cy,pci_cy,mhigrwcyfy,acsavghinc,meddi_cy,avgdi_cy,acstotpop,medvalgrfy,medvalgrcy,havgmeddis,davgmeddis
91915,422.0,51.0,3.0,15.0,422.0,13.0,1.0,17.0,7.0,54.0,3.0,51.0,10282.0,196.0,615.0,51.0,2033.0,540.0,632647.0,644805.0,667896.0,690646.0,606914.0,123803.0,160435.0,48169.0,1.65,132084.0,102076.0,113688.0,21502.0,0.055716607023178766,0.04239967705527133,1.2958789699848148,1.1137474651488581
91911,1337.0,106.0,7.0,22.0,1337.0,30.0,7.0,25.0,14.0,116.0,7.0,109.0,14433.0,324.0,1121.0,78.0,2191.0,445.0,436078.0,474251.0,544328.0,637687.0,434181.0,57698.0,75644.0,24423.0,3.47,72613.0,50038.0,59906.0,31636.0,0.24823483818298978,0.0043691355238125945,1.3110105894382917,1.1971861947680809
91913,490.0,49.0,2.0,18.0,490.0,14.0,2.0,13.0,8.0,52.0,2.0,49.0,14621.0,373.0,1037.0,64.0,3050.0,810.0,624917.0,673105.0,659618.0,749271.0,569183.0,113528.0,140899.0,41464.0,2.35,144123.0,93428.0,102806.0,32083.0,0.05552888538976314,0.09791912632821724,1.241083775951519,1.100364983035246
91910,1692.0,120.0,15.0,28.0,1692.0,36.0,6.0,49.0,20.0,139.0,15.0,124.0,16240.0,425.0,1586.0,82.0,2387.0,572.0,495654.0,519976.0,599618.0,637882.0,457343.0,53261.0,71331.0,25415.0,4.58,71137.0,45482.0,57138.0,35453.0,0.20975073387739457,0.08376845438007277,1.3392474935225864,1.2562495877580635
91914,866.0,42.0,5.0,41.0,866.0,8.0,0.0,10.0,24.0,51.0,5.0,45.0,7770.0,146.0,276.0,49.0,1815.0,356.0,692919.0,745552.0,755548.0,813860.0,627666.0,126674.0,160860.0,50181.0,2.43,135555.0,103000.0,114602.0,18755.0,0.09038417133291,0.10396117686607707,1.2698638247483718,1.1126299744662673
92118,1057.0,83.0,21.0,44.0,1057.0,8.0,3.0,28.0,35.0,107.0,21.0,86.0,5776.0,176.0,422.0,62.0,1103.0,233.0,1744541.0,1682428.0,1772682.0,1723242.0,1848898.0,125206.0,182132.0,73884.0,3.95,170769.0,102933.0,122080.0,15051.0,0.01613088134306884,-0.05644278027085309,1.4546471043951217,1.1860026813297841
91950,1305.0,110.0,12.0,18.0,1305.0,38.0,10.0,30.0,14.0,126.0,12.0,114.0,13614.0,181.0,1872.0,99.0,2170.0,416.0,461978.0,554964.0,589724.0,713621.0,442391.0,48349.0,69138.0,21834.0,2.86,60363.0,41190.0,54041.0,32113.0,0.2765190625547915,0.0442752129333261,1.4299482936918304,1.3119613507805103
91902,248.0,17.0,1.0,7.0,248.0,6.0,2.0,2.0,6.0,18.0,1.0,17.0,5446.0,74.0,399.0,41.0,839.0,188.0,645171.0,700315.0,775913.0,854280.0,597777.0,105103.0,130078.0,41705.0,3.48,128818.0,85196.0,96338.0,11717.0,0.20264673606418132,0.07928361364921425,1.2376122697518648,1.130767515288097
92139,314.0,27.0,1.0,7.0,314.0,9.0,1.0,0.0,5.0,29.0,1.0,28.0,11810.0,198.0,899.0,65.0,2161.0,533.0,509360.0,618420.0,629938.0,751490.0,476389.0,73489.0,92630.0,26618.0,3.88,92942.0,59019.0,72317.0,29253.0,0.236724052292971,0.06921010096769453,1.2604435977684039,1.225296509657743
92136,437.0,46.0,6.0,6.0,437.0,12.0,5.0,4.0,6.0,54.0,6.0,48.0,3668.0,22.0,629.0,111.0,674.0,97.0,483649.0,622416.0,691695.0,827931.0,398060.0,51823.0,70533.0,21136.0,1.0,,43884.0,55827.0,19388.0,0.43015817223198594,0.21501478416624586,1.3610103426983637,1.2721203144582431
92114,211.0,8.0,1.0,5.0,211.0,7.0,3.0,4.0,6.0,10.0,1.0,9.0,11952.0,257.0,1020.0,95.0,1819.0,300.0,483368.0,596214.0,607135.0,776027.0,461978.0,79136.0,99931.0,26612.0,3.16,95506.0,63304.0,76974.0,27227.0,0.2560507603921642,0.04630080588078679,1.2627595183037013,1.2159229128820788
92101,7769.0,627.0,117.0,183.0,7769.0,95.0,14.0,119.0,184.0,755.0,117.0,638.0,27056.0,816.0,2257.0,195.0,597.0,364.0,749566.0,861097.0,841768.0,949871.0,635895.0,78568.0,119172.0,69188.0,4.33,,62278.0,83125.0,44503.0,0.12300701605059988,0.17875721816146037,1.5167814277895861,1.3347195683938406
92102,2194.0,165.0,15.0,64.0,2194.0,64.0,13.0,19.0,54.0,185.0,15.0,170.0,22312.0,569.0,3516.0,160.0,2172.0,515.0,580720.0,651254.0,684740.0,800788.0,516497.0,54985.0,85956.0,38210.0,4.1,,46568.0,63573.0,44448.0,0.17912216021118574,0.12434317267443436,1.5632342778161714,1.3651356052309476
91901,295.0,23.0,2.0,6.0,295.0,8.0,2.0,4.0,5.0,26.0,2.0,24.0,3186.0,106.0,157.0,60.0,573.0,139.0,634681.0,672037.0,712697.0,792552.0,599822.0,84486.0,111585.0,41228.0,4.32,118869.0,67767.0,83657.0,6820.0,0.12292140000819309,0.05811547739916609,1.320735734491697,1.2344616928343761
92019,766.0,57.0,3.0,15.0,766.0,30.0,10.0,13.0,7.0,61.0,3.0,58.0,11520.0,506.0,947.0,68.0,1901.0,482.0,557021.0,620294.0,640162.0,779476.0,443124.0,69256.0,90728.0,30704.0,3.34,79608.0,55436.0,69291.0,24947.0,0.14925981379550537,0.2570313117066291,1.3100192038349914,1.2499052979057308
92105,1449.0,137.0,1.0,32.0,1449.0,53.0,7.0,30.0,23.0,142.0,1.0,141.0,26165.0,553.0,4255.0,94.0,4350.0,1008.0,607621.0,670426.0,680538.0,782836.0,484989.0,49524.0,73220.0,26986.0,3.52,73463.0,42256.0,57170.0,58488.0,0.12000388399366711,0.25285469803501104,1.4784452296819788,1.3529119435833117
92115,1092.0,103.0,5.0,27.0,1092.0,40.0,2.0,24.0,20.0,111.0,5.0,106.0,20294.0,521.0,3101.0,87.0,3022.0,836.0,655738.0,708032.0,728413.0,805437.0,613520.0,51878.0,83670.0,30416.0,4.51,80951.0,43974.0,62585.0,44385.0,0.11082915611241667,0.06881264048011397,1.612791302839299,1.4231949971574758
